Hotel Name,Location,Tarrif,Ratings,Number of reviews,Website
La Quinta Inn & Suites by Wyndham Greensboro NC,Greensboro,$65,4.1/5,"(1,002 reviews)",https://www.expedia.com/Greensboro-Hotels-La-Quinta-Inn-Suites-By-Wyndham-Greensboro-NC.h282691.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730109&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=65&top_cur=USD&semdtl=&selectedRoomType=201050830&selectedRatePlan=246098957
Clarion Pointe Greensboro Airport,Greensboro,$63,3.7/5,(943 reviews),https://www.expedia.com/Greensboro-Hotels-Clarion-Inn-Greensboro-Airport.h217318.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730111&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=63&top_cur=USD&semdtl=&selectedRoomType=217339828&selectedRatePlan=268266567
Comfort Suites Four Seasons,Greensboro,$110,4.2/5,(889 reviews),https://www.expedia.com/Greensboro-Hotels-Comfort-Suites-Four-Seasons.h2233242.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730113&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=110&top_cur=USD&semdtl=&selectedRoomType=211214879&selectedRatePlan=228297897
Comfort Suites Whitsett - Greensboro East,Whitsett,$84,4.5/5,(493 reviews),https://www.expedia.com/Greensboro-Hotels-Comfort-Suites-Whitsett-Greensboro-East.h3135974.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730115&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=84&top_cur=USD&semdtl=&selectedRoomType=211813978&selectedRatePlan=232303638
The Biltmore Greensboro Hotel,Downtown Greensboro,$129,4.2/5,(289 reviews),https://www.expedia.com/Greensboro-Hotels-The-Biltmore-Greensboro-Hotel.h3909.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730117&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&neighborhoodId=6347865&sort=RECOMMENDED&top_dp=129&top_cur=USD&semdtl=&selectedRoomType=201287633&selectedRatePlan=206237862
Drury Inn & Suites Greensboro,Greensboro,$110,4.4/5,(934 reviews),https://www.expedia.com/Greensboro-Hotels-Drury-Inn-Suites-Greensboro.h217323.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730119&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=110&top_cur=USD&semdtl=&selectedRoomType=211211828&selectedRatePlan=228221220
Wyndham Garden Greensboro,Greensboro,$101,3.7/5,"(1,007 reviews)",https://www.expedia.com/Greensboro-Hotels-Wyndham-Garden-Greensboro.h40822.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730120&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=101&top_cur=USD&semdtl=&selectedRoomType=201688975&selectedRatePlan=256169259
Comfort Inn Greensboro - Kernersville,Greensboro,$80,4.2/5,(911 reviews),https://www.expedia.com/Greensboro-Hotels-Comfort-Inn-Greensboro.h8415.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730122&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&semdtl=&selectedRoomType=213312945&selectedRatePlan=242289625
Hyatt Place Greensboro,Greensboro,$99,4.2/5,"(1,000 reviews)",https://www.expedia.com/Greensboro-Hotels-Hyatt-Place-Greensboro.h27773.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730124&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=99&top_cur=USD&semdtl=&selectedRoomType=200160967&selectedRatePlan=224145692
Wingate by Wyndham High Point,High Point,$93,4.1/5,(996 reviews),https://www.expedia.com/Greensboro-Hotels-Wingate-By-Wyndham-High-Point.h519070.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730126&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&selectedRoomType=200665281&selectedRatePlan=203255635
